,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Time_taken(min),Distance(kms),Type_of_order_Drinks ,Type_of_order_Meal ,Type_of_order_Snack ,Type_of_vehicle_electric_scooter ,Type_of_vehicle_motorcycle ,Type_of_vehicle_scooter ,Festival_No ,Festival_Yes ,City_Metropolitian ,City_Semi-Urban ,City_Urban 
0,37.0,4.9,0,2,2.0,0.0,24.0,3.020736643461066,0,0,1,0,1,0,1,0,0,0,1
1,34.0,4.5,4,3,2.0,1.0,33.0,20.143736910348597,0,0,1,0,0,1,1,0,1,0,0
2,23.0,4.4,5,0,0.0,1.0,26.0,1.5496929322394055,1,0,0,0,1,0,1,0,0,0,1
3,38.0,4.7,0,1,0.0,1.0,21.0,7.774496620087613,0,0,0,0,1,0,1,0,1,0,0
4,32.0,4.6,1,2,1.0,1.0,30.0,6.197897916874956,0,0,1,0,0,1,1,0,1,0,0
5,22.0,4.8,1,3,0.0,1.0,26.0,4.602205335871527,0,0,0,0,1,0,1,0,0,0,1
6,33.0,4.7,3,3,1.0,1.0,40.0,16.576886807242534,0,1,0,0,0,1,1,0,1,0,0
7,35.0,4.6,1,1,2.0,1.0,32.0,20.164987511903334,0,1,0,0,1,0,1,0,1,0,0
8,22.0,4.8,4,3,0.0,1.0,34.0,19.940219401607525,0,0,0,0,1,0,1,0,1,0,0
9,36.0,4.2,3,3,2.0,3.0,46.0,10.27146402322959,0,0,1,0,1,0,1,0,1,0,0
10,21.0,4.7,4,2,1.0,1.0,23.0,6.229376076976494,0,1,0,0,1,0,1,0,1,0,0
11,23.0,4.7,5,1,1.0,1.0,21.0,13.764305929575334,1,0,0,0,0,1,1,0,1,0,0
12,34.0,4.3,5,0,0.0,0.0,20.0,2.9277947281095997,0,0,0,0,1,0,1,0,1,0,0
13,24.0,4.7,3,3,1.0,1.0,41.0,19.373484088636204,0,0,1,0,0,1,1,0,1,0,0
